time	area	hares.area	hares.birth_fraction	hares.births	hares.deaths	hares.hare_density	hares.hares	hares.hares_killed_per_lynx	hares.lynxes	lynxes.birth_fraction	lynxes.births	lynxes.death_fraction	lynxes.deaths	lynxes.hare_density	lynxes.harvest	lynxes.lynxes	lynxes.size_of_one_time_lynx_harvest	size_of_one_time_lynx_harvest
0	1000	1000	1.25	62500	62500	50	50000	50	1250	0.25	312.5	0.0820849986238988	102.6062482798735	50	0	1250	100	100
0.5	1000	1000	1.25	62500	67747.34379300317	50	50000	50	1354.9468758600633	0.25	338.7367189650158	0.0820849986238988	111.22081244042927	50	0	1354.9468758600633	100	100
1	1000	1000	1.25	59220.41012937302	69581.84187169334	47.376328103498416	47376.32810349842	47.376328103498416	1468.7048291223566	0.25	367.17620728058915	0.09605612614580769	141.078096337134	47.376328103498416	0	1468.7048291223566	100	100
1.5	1000	1000	1.25	52744.51529042282	66743.07356132669	42.195612232338256	42195.61223233826	42.195612232338256	1581.7538845940842	0.25	395.43847114852105	0.12364358560949612	195.5737218429617	42.195612232338256	0	1581.7538845940842	100	100
2	1000	1000	1.25	43995.416371107916	59189.18974490935	35.19633309688633	35196.33309688633	35.19633309688633	1681.6862592468638	0.25	420.42156481171594	0.1775090176850364	298.51447593333427	35.19633309688633	0	1681.6862592468638	100	100
2.5	1000	1000	1.25	34499.30801248201	48095.893873741115	27.599446409985614	27599.446409985612	27.599446409985614	1742.6398036860546	0.25	435.65995092151365	0.2578780007696093	449.3884686361042	27.599446409985614	0	1742.6398036860546	100	100
3	1000	1000	1.25	26001.441849195075	36106.13351369591	20.80115347935606	20801.15347935606	20.80115347935606	1735.7755448287594	0.25	433.94388620718985	0.3562828021588546	618.4269750304029	20.80115347935606	0	1735.7755448287594	100	100
3.5	1000	1000	1.25	19686.009558882055	25883.700834047784	15.748807647105643	15748.807647105643	15.748807647105643	1643.5340004171528	0.25	410.8835001042882	0.4693346646985651	771.3674790064758	15.748807647105643	0	1643.5340004171528	100	100
4	1000	1000	1.25	15812.452511903473	18510.588347558834	12.649962009522778	12649.962009522778	12.649962009522778	1463.292010966059	0.25	365.82300274151476	0.5432889934465855	794.9904437561802	12.649962009522778	0	1463.292010966059	100	100
4.5	1000	1000	1.25	14126.117614618872	14111.520141895708	11.300894091695097	11300.894091695098	11.300894091695097	1248.7082904587264	0.25	312.1770726146816	0.5754846636950259	718.6124705878309	11.300894091695097	0	1248.7082904587264	100	100
5	1000	1000	1.25	14135.241035070849	11822.609208286121	11.30819282805668	11308.192828056679	11.30819282805668	1045.4905914721517	0.25	261.3726478680379	0.5753104784623757	601.4816924077558	11.30819282805668	0	1045.4905914721517	100	100
5.5	1000	1000	1.25	15580.635926811303	10911.880537151766	12.464508741449043	12464.508741449043	12.464508741449043	875.4360692022927	0.25	218.85901730057319	0.5477148582874098	479.4893425828209	12.464508741449043	0	875.4360692022927	100	100
6	1000	1000	1.25	18498.608045348516	11026.959677495854	14.798886436278812	14798.886436278812	14.798886436278812	745.1209065611689	0.25	186.28022664029223	0.4920046501467598	366.60295094966443	14.798886436278812	0	745.1209065611689	100	100
6.5	1000	1000	1.25	23168.38827525643	12139.485623515558	18.534710620205143	18534.710620205144	18.534710620205143	654.9595444064828	0.25	163.7398861016207	0.40284875077179283	263.84963427021415	18.534710620205143	0	654.9595444064828	100	100
7	1000	1000	1.25	30061.452432594473	14547.450378515712	24.04916194607558	24049.16194607558	24.04916194607558	604.9046703221861	0.25	151.22616758054653	0.30926811312742397	187.07772601250895	24.04916194607558	0	604.9046703221861	100	100
7.5	1000	1000	1.25	39757.7037163937	18669.54627230225	31.806162973114958	31806.16297311496	31.806162973114958	586.9788911062049	0.25	146.7447227765512	0.2072729745576991	121.66486076216283	31.806162973114958	0	586.9788911062049	100	100
8	1000	1000	1.25	52937.80211895086	25389.767017300495	42.35024169516068	42350.24169516069	42.35024169516068	599.5188221133991	0.25	149.87970552834977	0.12282017931901558	73.63300923709268	42.35024169516068	0	599.5188221133991	100	100
8.5	1000	1000	1.25	70155.32405748234	35787.19446979073	56.12425924598587	56124.25924598587	56.12425924598587	637.6421702590277	0.25	159.41054256475692	0.06230490882422596	39.72823728047028	56.12425924598587	0	637.6421702590277	100	100
9	1000	1000	1.25	91635.40504978958	51131.333447617595	73.30832403983167	73308.32403983167	73.30832403983167	697.483322901171	0.25	174.37083072529276	0.026266517314758948	18.320457777739215	73.30832403983167	0	697.483322901171	100	100
9.5	1000	1000	1.25	116950.44980114707	72556.85519681379	93.56035984091767	93560.35984091766	93.56035984091767	775.5085093749478	0.25	193.87712734373696	0.009552745614054732	7.408235511593656	93.56035984091767	0	775.5085093749478	100	100
10	1000	1000	1.25	144696.4464288554	100563.21479257	115.7571571430843	115757.1571430843	115.7571571430843	868.7429552910195	0.25	217.18573882275487	0.00673794699908547	5.853543988579767	115.7571571430843	0	868.7429552910195	100	100
10.5	1000	1000	1.25	172279.71620153374	134296.7320518064	137.82377296122698	137823.772961227	137.82377296122698	974.4090527081071	0.25	243.60226317702677	0.00673794699908547	6.565516552576305	137.82377296122698	0	974.4090527081071	100	100
11	1000	1000	1.25	196019.0812951133	171387.7039765908	156.81526503609066	156815.26503609066	156.81526503609066	1092.9274260203324	0.25	273.2318565050831	0.00673794699908547	7.364087070371905	156.81526503609066	0	1092.9274260203324	100	100
11.5	1000	1000	1.25	211413.6921191899	207331.0925832993	169.1309536953519	169130.9536953519	169.1309536953519	1225.861310737688	0.25	306.465327684422	0.00673794699908547	8.259788539979985	169.1309536953519	0	1225.861310737688	100	100
12	1000	1000	1.25	213965.3168291215	235355.70005773706	171.1722534632972	171172.2534632972	171.1722534632972	1374.964080309909	0.25	343.74102007747723	0.00673794699908547	9.264435098774463	171.1722534632972	0	1374.964080309909	100	100
